state_abb,low_wage_threshold,low_wage_share,low_wage_count,state_mw,dates,obs_count
AK,10,NA,NA,$10.85,January 2022 through December 2022,NA
AL,10,0.04200176037131369,42000,$7.25,January 2022 through December 2022,1321
AR,10,NA,NA,$11.00,January 2022 through December 2022,NA
AZ,10,NA,NA,$13.85,January 2022 through December 2022,NA
CA,10,NA,NA,$15.50,January 2022 through December 2022,NA
CO,10,NA,NA,$13.65,January 2022 through December 2022,NA
CT,10,NA,NA,$14.00,January 2022 through December 2022,NA
DC,10,NA,NA,$16.10,January 2022 through December 2022,NA
DE,10,NA,NA,$11.75,January 2022 through December 2022,NA
FL,10,NA,NA,$11.00,January 2022 through December 2022,NA
GA,10,0.04199215567475779,112000,$7.25,January 2022 through December 2022,1619
HI,10,NA,NA,$12.00,January 2022 through December 2022,NA
IA,10,0.03402287139930643,31000,$7.25,January 2022 through December 2022,978
ID,10,0.031058302027208006,18000,$7.25,January 2022 through December 2022,1646
IL,10,NA,NA,$13.00,January 2022 through December 2022,NA
IN,10,0.028744676748729076,58000,$7.25,January 2022 through December 2022,1488
KS,10,0.028700409078437832,28000,$7.25,January 2022 through December 2022,1204
KY,10,0.03961363552569779,50000,$7.25,January 2022 through December 2022,974
LA,10,0.08047100497275318,68000,$7.25,January 2022 through December 2022,1311
MA,10,NA,NA,$15.00,January 2022 through December 2022,NA
MD,10,NA,NA,$13.25,January 2022 through December 2022,NA
ME,10,NA,NA,$13.80,January 2022 through December 2022,NA
MI,10,NA,NA,$10.10,January 2022 through December 2022,NA
MN,10,NA,NA,$10.59,January 2022 through December 2022,NA
MO,10,NA,NA,$12.00,January 2022 through December 2022,NA
MS,10,0.07317907367133235,49000,$7.25,January 2022 through December 2022,1267
MT,10,NA,NA,$9.95,January 2022 through December 2022,NA
NC,10,0.03762456362267032,85000,$7.25,January 2022 through December 2022,1596
ND,10,0.01818395556925928,5000,$7.25,January 2022 through December 2022,1644
NE,10,NA,NA,$10.50,January 2022 through December 2022,NA
NH,10,0.020809940355493876,10000,$7.25,January 2022 through December 2022,1318
NJ,10,NA,NA,$14.13,January 2022 through December 2022,NA
NM,10,NA,NA,$12.00,January 2022 through December 2022,NA
NV,10,NA,NA,$10.50,January 2022 through December 2022,NA
NY,10,NA,NA,$14.20,January 2022 through December 2022,NA
OH,10,NA,NA,$10.10,January 2022 through December 2022,NA
OK,10,0.048518510007293424,49000,$7.25,January 2022 through December 2022,1120
OR,10,NA,NA,$13.50,January 2022 through December 2022,NA
PA,10,0.0318872905574409,112000,$7.25,January 2022 through December 2022,2300
RI,10,NA,NA,$13.00,January 2022 through December 2022,NA
SC,10,0.033377690404287015,38000,$7.25,January 2022 through December 2022,1103
SD,10,NA,NA,$10.80,January 2022 through December 2022,NA
TN,10,0.035843158933228425,70000,$7.25,January 2022 through December 2022,1553
TX,10,0.04388447665760707,372000,$7.25,January 2022 through December 2022,5088
UT,10,0.018626405284913595,20000,$7.25,January 2022 through December 2022,1704
VA,10,NA,NA,$12.00,January 2022 through December 2022,NA
VT,10,NA,NA,$13.18,January 2022 through December 2022,NA
