CPI Value,Notes,US,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,
207.3,Jan-07,$5.15,$7.15,$5.15,$6.25,$6.75,$7.50,$6.85,$7.65,$7.00,$6.65,$6.67,$5.15,$7.25,$5.15,$5.15,$6.50,$5.15,$5.15,$5.15,$5.15,$7.50,$6.15,$6.75,$6.95,$6.15,$6.50,$5.15,$6.15,$6.15,$5.15,$5.15,$5.15,$7.15,$5.15,$6.15,$7.15,$6.85,$5.15,$7.80,$6.25,$7.40,$5.15,$5.15,$5.15,$5.15,$5.15,$5.15,$7.53,$7.93,$6.50,$5.15,$5.15,
207.3,Feb-07,$5.15,$7.15,$5.15,$6.25,$6.75,$7.50,$6.85,$7.65,$7.00,$6.65,$6.67,$5.15,$7.25,$5.15,$5.15,$6.50,$5.15,$5.15,$5.15,$5.15,$7.50,$6.15,$6.75,$6.95,$6.15,$6.50,$5.15,$6.15,$6.15,$5.15,$5.15,$5.15,$7.15,$5.15,$6.15,$7.15,$6.85,$5.15,$7.80,$6.25,$7.40,$5.15,$5.15,$5.15,$5.15,$5.15,$5.15,$7.53,$7.93,$6.50,$5.15,$5.15,
207.3,Mar-07,$5.15,$7.15,$5.15,$6.25,$6.75,$7.50,$6.85,$7.65,$7.00,$6.65,$6.67,$5.15,$7.25,$5.15,$5.15,$6.50,$5.15,$5.15,$5.15,$5.15,$7.50,$6.15,$6.75,$6.95,$6.15,$6.50,$5.15,$6.15,$6.15,$5.15,$5.15,$5.15,$7.15,$5.15,$6.15,$7.15,$6.85,$5.15,$7.80,$6.25,$7.40,$5.15,$5.15,$5.15,$5.15,$5.15,$5.15,$7.53,$7.93,$6.50,$5.15,$5.15,
207.3,Apr-07,$5.15,$7.15,$5.15,$6.25,$6.75,$7.50,$6.85,$7.65,$7.00,$6.65,$6.67,$5.15,$7.25,$6.20,$5.15,$6.50,$5.15,$5.15,$5.15,$5.15,$7.50,$6.15,$6.75,$6.95,$6.15,$6.50,$5.15,$6.15,$6.15,$5.15,$5.15,$5.15,$7.15,$5.15,$6.15,$7.15,$6.85,$5.15,$7.80,$6.25,$7.40,$5.15,$5.15,$5.15,$5.15,$5.15,$5.15,$7.53,$7.93,$6.50,$5.15,$5.15,
207.3,May-07,$5.15,$7.15,$5.15,$6.25,$6.75,$7.50,$6.85,$7.65,$7.00,$6.65,$6.67,$5.15,$7.25,$6.20,$5.15,$6.50,$5.15,$5.15,$5.15,$5.15,$7.50,$6.15,$6.75,$6.95,$6.15,$6.50,$5.15,$6.15,$6.15,$5.15,$5.15,$5.15,$7.15,$5.15,$6.15,$7.15,$6.85,$5.15,$7.80,$6.25,$7.40,$5.15,$5.15,$5.15,$5.15,$5.15,$5.15,$7.53,$7.93,$6.50,$5.15,$5.15,
207.3,Jun-07,$5.15,$7.15,$5.15,$6.25,$6.75,$7.50,$6.85,$7.65,$7.00,$6.65,$6.67,$5.15,$7.25,$6.20,$5.15,$6.50,$5.15,$5.15,$5.15,$5.15,$7.50,$6.15,$6.75,$6.95,$6.15,$6.50,$5.15,$6.15,$6.15,$5.15,$5.15,$5.15,$7.15,$5.15,$6.15,$7.15,$6.85,$5.15,$7.80,$6.25,$7.40,$5.15,$5.15,$5.15,$5.15,$5.15,$5.15,$7.53,$7.93,$6.50,$5.15,$5.15,
207.3,Jul-07,$5.85,$7.15,$5.85,$6.25,$6.75,$7.50,$6.85,$7.65,$7.00,$6.65,$6.67,$5.85,$7.25,$6.20,$5.85,$7.50,$5.85,$5.85,$5.85,$5.85,$7.50,$6.15,$6.75,$7.15,$6.15,$6.50,$5.85,$6.15,$6.15,$5.85,$5.85,$5.85,$7.15,$5.85,$6.15,$7.15,$6.85,$5.85,$7.80,$7.15,$7.40,$5.85,$5.85,$5.85,$5.85,$5.85,$5.85,$7.53,$7.93,$6.50,$5.85,$5.85,
207.3,Aug-07,$5.85,$7.15,$5.85,$6.25,$6.75,$7.50,$6.85,$7.65,$7.00,$6.65,$6.67,$5.85,$7.25,$6.20,$5.85,$7.50,$5.85,$5.85,$5.85,$5.85,$7.50,$6.15,$6.75,$7.15,$6.15,$6.50,$5.85,$6.15,$6.15,$5.85,$5.85,$5.85,$7.15,$5.85,$6.15,$7.15,$6.85,$5.85,$7.80,$7.15,$7.40,$5.85,$5.85,$5.85,$5.85,$5.85,$5.85,$7.53,$7.93,$6.50,$5.85,$5.85,
207.3,Sep-07,$5.85,$7.15,$5.85,$6.25,$6.75,$7.50,$6.85,$7.65,$7.00,$6.65,$6.67,$5.85,$7.25,$6.20,$5.85,$7.50,$5.85,$5.85,$5.85,$5.85,$7.50,$6.15,$6.75,$7.15,$6.15,$6.50,$5.85,$6.15,$6.15,$5.85,$5.85,$5.85,$7.15,$5.85,$6.15,$7.15,$6.85,$5.85,$7.80,$7.15,$7.40,$5.85,$5.85,$5.85,$5.85,$5.85,$5.85,$7.53,$7.93,$6.50,$5.85,$5.85,
207.3,Oct-07,$5.85,$7.15,$5.85,$6.25,$6.75,$7.50,$6.85,$7.65,$7.00,$6.65,$6.67,$5.85,$7.25,$6.20,$5.85,$7.50,$5.85,$5.85,$5.85,$5.85,$7.50,$6.15,$7.00,$7.15,$6.15,$6.50,$5.85,$6.15,$6.15,$5.85,$5.85,$5.85,$7.15,$5.85,$6.15,$7.15,$6.85,$5.85,$7.80,$7.15,$7.40,$5.85,$5.85,$5.85,$5.85,$5.85,$5.85,$7.53,$7.93,$6.50,$5.85,$5.85,
