"CPI value",Notes,US,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
207.342,2007/01/01,5.15,7.15,5.15,6.25,6.75,7.5,6.85,7.65,7,6.65,6.67,5.15,7.25,5.15,5.15,6.5,5.15,5.15,5.15,5.15,7.5,6.15,6.75,6.95,6.15,6.5,5.15,6.15,6.15,5.15,5.15,5.15,7.15,5.15,6.15,7.15,6.85,5.15,7.8,6.25,7.4,5.15,5.15,5.15,5.15,5.15,5.15,7.53,7.93,6.5,5.15,5.15
207.342,2007/02/01,5.15,7.15,5.15,6.25,6.75,7.5,6.85,7.65,7,6.65,6.67,5.15,7.25,5.15,5.15,6.5,5.15,5.15,5.15,5.15,7.5,6.15,6.75,6.95,6.15,6.5,5.15,6.15,6.15,5.15,5.15,5.15,7.15,5.15,6.15,7.15,6.85,5.15,7.8,6.25,7.4,5.15,5.15,5.15,5.15,5.15,5.15,7.53,7.93,6.5,5.15,5.15
207.342,2007/03/01,5.15,7.15,5.15,6.25,6.75,7.5,6.85,7.65,7,6.65,6.67,5.15,7.25,5.15,5.15,6.5,5.15,5.15,5.15,5.15,7.5,6.15,6.75,6.95,6.15,6.5,5.15,6.15,6.15,5.15,5.15,5.15,7.15,5.15,6.15,7.15,6.85,5.15,7.8,6.25,7.4,5.15,5.15,5.15,5.15,5.15,5.15,7.53,7.93,6.5,5.15,5.15
207.342,2007/04/01,5.15,7.15,5.15,6.25,6.75,7.5,6.85,7.65,7,6.65,6.67,5.15,7.25,6.2,5.15,6.5,5.15,5.15,5.15,5.15,7.5,6.15,6.75,6.95,6.15,6.5,5.15,6.15,6.15,5.15,5.15,5.15,7.15,5.15,6.15,7.15,6.85,5.15,7.8,6.25,7.4,5.15,5.15,5.15,5.15,5.15,5.15,7.53,7.93,6.5,5.15,5.15
207.342,2007/05/01,5.15,7.15,5.15,6.25,6.75,7.5,6.85,7.65,7,6.65,6.67,5.15,7.25,6.2,5.15,6.5,5.15,5.15,5.15,5.15,7.5,6.15,6.75,6.95,6.15,6.5,5.15,6.15,6.15,5.15,5.15,5.15,7.15,5.15,6.15,7.15,6.85,5.15,7.8,6.25,7.4,5.15,5.15,5.15,5.15,5.15,5.15,7.53,7.93,6.5,5.15,5.15
207.342,2007/06/01,5.15,7.15,5.15,6.25,6.75,7.5,6.85,7.65,7,6.65,6.67,5.15,7.25,6.2,5.15,6.5,5.15,5.15,5.15,5.15,7.5,6.15,6.75,6.95,6.15,6.5,5.15,6.15,6.15,5.15,5.15,5.15,7.15,5.15,6.15,7.15,6.85,5.15,7.8,6.25,7.4,5.15,5.15,5.15,5.15,5.15,5.15,7.53,7.93,6.5,5.15,5.15
207.342,2007/07/01,5.85,7.15,5.85,6.25,6.75,7.5,6.85,7.65,7,6.65,6.67,5.85,7.25,6.2,5.85,7.5,5.85,5.85,5.85,5.85,7.5,6.15,6.75,7.15,6.15,6.5,5.85,6.15,6.15,5.85,5.85,5.85,7.15,5.85,6.15,7.15,6.85,5.85,7.8,7.15,7.4,5.85,5.85,5.85,5.85,5.85,5.85,7.53,7.93,6.5,5.85,5.85
207.342,2007/08/01,5.85,7.15,5.85,6.25,6.75,7.5,6.85,7.65,7,6.65,6.67,5.85,7.25,6.2,5.85,7.5,5.85,5.85,5.85,5.85,7.5,6.15,6.75,7.15,6.15,6.5,5.85,6.15,6.15,5.85,5.85,5.85,7.15,5.85,6.15,7.15,6.85,5.85,7.8,7.15,7.4,5.85,5.85,5.85,5.85,5.85,5.85,7.53,7.93,6.5,5.85,5.85
207.342,2007/09/01,5.85,7.15,5.85,6.25,6.75,7.5,6.85,7.65,7,6.65,6.67,5.85,7.25,6.2,5.85,7.5,5.85,5.85,5.85,5.85,7.5,6.15,6.75,7.15,6.15,6.5,5.85,6.15,6.15,5.85,5.85,5.85,7.15,5.85,6.15,7.15,6.85,5.85,7.8,7.15,7.4,5.85,5.85,5.85,5.85,5.85,5.85,7.53,7.93,6.5,5.85,5.85
207.342,2007/10/01,5.85,7.15,5.85,6.25,6.75,7.5,6.85,7.65,7,6.65,6.67,5.85,7.25,6.2,5.85,7.5,5.85,5.85,5.85,5.85,7.5,6.15,7,7.15,6.15,6.5,5.85,6.15,6.15,5.85,5.85,5.85,7.15,5.85,6.15,7.15,6.85,5.85,7.8,7.15,7.4,5.85,5.85,5.85,5.85,5.85,5.85,7.53,7.93,6.5,5.85,5.85
207.342,2007/11/01,5.85,7.15,5.85,6.25,6.75,7.5,6.85,7.65,7,6.65,6.67,5.85,7.25,6.2,5.85,7.5,5.85,5.85,5.85,5.85,7.5,6.15,7,7.15,6.15,6.5,5.85,6.15,6.15,5.85,5.85,5.85,7.15,5.85,6.33,7.15,6.85,5.85,7.8,7.15,7.4,5.85,5.85,5.85,5.85,5.85,5.85,7.53,7.93,6.5,5.85,5.85
207.342,2007/12/01,5.85,7.15,5.85,6.25,6.75,7.5,6.85,7.65,7,6.65,6.67,5.85,7.25,7.25,5.85,7.5,5.85,5.85,5.85,5.85,7.5,6.15,7,7.15,6.15,6.5,5.85,6.15,6.15,5.85,5.85,5.85,7.15,5.85,6.33,7.15,6.85,5.85,7.8,7.15,7.4,5.85,5.85,5.85,5.85,5.85,5.85,7.53,7.93,6.5,5.85,5.85
215.303,2008/01/01,5.85,7.15,5.85,6.25,6.9,8,7.02,7.65,7,7.15,6.79,5.85,7.25,7.25,5.85,7.5,5.85,5.85,5.85,5.85,8,6.15,7,7.15,6.15,6.65,5.85,6.25,6.15,5.85,5.85,6.5,7.15,6.5,6.33,7.15,7,5.85,7.95,7.15,7.4,5.85,5.85,5.85,5.85,5.85,5.85,7.68,8.07,6.5,5.85,5.85
215.303,2008/02/01,5.85,7.15,5.85,6.25,6.9,8,7.02,7.65,7,7.15,6.79,5.85,7.25,7.25,5.85,7.5,5.85,5.85,5.85,5.85,8,6.15,7,7.15,6.15,6.65,5.85,6.25,6.15,5.85,5.85,6.5,7.15,6.5,6.33,7.15,7,5.85,7.95,7.15,7.4,5.85,5.85,5.85,5.85,5.85,5.85,7.68,8.07,6.5,5.85,5.85
215.303,2008/03/01,5.85,7.15,5.85,6.25,6.9,8,7.02,7.65,7,7.15,6.79,5.85,7.25,7.25,5.85,7.5,5.85,5.85,5.85,5.85,8,6.15,7,7.15,6.15,6.65,5.85,6.25,6.15,5.85,5.85,6.5,7.15,6.5,6.33,7.15,7,5.85,7.95,7.15,7.4,5.85,5.85,5.85,5.85,5.85,5.85,7.68,8.07,6.5,5.85,5.85
215.303,2008/04/01,5.85,7.15,5.85,6.25,6.9,8,7.02,7.65,7,7.15,6.79,5.85,7.25,7.25,5.85,7.5,5.85,5.85,5.85,5.85,8,6.15,7,7.15,6.15,6.65,5.85,6.25,6.15,5.85,5.85,6.5,7.15,6.5,6.33,7.15,7,5.85,7.95,7.15,7.4,5.85,5.85,5.85,5.85,5.85,5.85,7.68,8.07,6.5,5.85,5.85
